Gene Set,Size,P Value,Description,Gene
GO:0032616,interleukin-13 production,2.4205,0.57773,MIR-1-1
GO:0002507,tolerance induction,2.5201,0.63529,MIR-1-1
GO:0042092,type 2 immune response,2.4234,0.63728,MIR-1-1
GO:0032634,interleukin-5 production,2.5469,0.67089,MIR-1-1
GO:0002446,neutrophil mediated immunity,-2.0196,0.026018,MIR-124-1
GO:0032623,interleukin-2 production,-1.942,0.041628,MIR-124-1
GO:0036230,granulocyte activation,-2.0366,0.04403,MIR-124-1
GO:0042116,macrophage activation,-1.8725,0.08339,MIR-124-1
GO:0006959,humoral immune response,-1.8243,0.096565,MIR-124-1
GO:0032609,interferon-gamma production,-1.649,0.12737,MIR-124-1
GO:0002250,adaptive immune response,-1.6512,0.13594,MIR-124-1
GO:0007159,leukocyte cell-cell adhesion,-1.6096,0.13998,MIR-124-1
GO:0070555,response to interleukin-1,-1.7251,0.14038,MIR-124-1
GO:0034341,response to interferon-gamma,-2.5194,<2.2e-16,MIR-7-3
GO:0034340,response to type I interferon,-2.6025,<2.2e-16,MIR-7-3
GO:0035456,response to interferon-beta,-2.1113,0.0034898,MIR-7-3
GO:0035455,response to interferon-alpha,-2.0365,0.0065434,MIR-7-3
GO:0002507,tolerance induction,-1.9174,0.0098150,MIR-7-3
GO:0032615,interleukin-12 production,-1.8813,0.013801,MIR-7-3
GO:0001773,myeloid dendritic cell activation,-1.8382,0.023757,MIR-7-3
GO:0042110,T cell activation,-1.8223,0.025475,MIR-7-3
GO:0032633,interleukin-4 production,-1.8118,0.026173,MIR-7-3
GO:0032609,interferon-gamma production,-1.7966,0.028945,MIR-7-3
GO:0071706,tumor necrosis factor superfamily cytokine production,-1.7644,0.033240,MIR-7-3
GO:0002250,adaptive immune response,-1.7698,0.033612,MIR-7-3
GO:0002250,adaptive immune response,2.517,<2.2e-16,MIR-23A
GO:0007159,leukocyte cell-cell adhesion,2.4176,<2.2e-16,MIR-23A
GO:0002764,immune response-regulating signaling pathway,2.3925,<2.2e-16,MIR-23A
GO:0002694,regulation of leukocyte activation,2.3324,<2.2e-16,MIR-23A
GO:0001819,positive regulation of cytokine production,2.3116,<2.2e-16,MIR-23A
GO:0002449,lymphocyte mediated immunity,2.3071,<2.2e-16,MIR-23A
GO:0002697,regulation of immune effector process,2.2812,<2.2e-16,MIR-23A
GO:0032609,interferon-gamma production,2.239,<2.2e-16,MIR-23A
GO:0032606,type I interferon production,2.1974,<2.2e-16,MIR-23A
GO:0032635,interleukin-6 production,2.1936,<2.2e-16,MIR-23A
GO:0002285,lymphocyte activation involved in immune response,2.178,<2.2e-16,MIR-23A
GO:0001818,negative regulation of cytokine production,2.1769,<2.2e-16,MIR-23A
GO:0032615,interleukin-12 production,2.1549,<2.2e-16,MIR-23A
GO:0032637,interleukin-8 production,2.1528,<2.2e-16,MIR-23A
GO:0002521,leukocyte differentiation,2.1179,<2.2e-16,MIR-23A
GO:0034340,response to type I interferon,-2.1894,0.00063314,MIR-381
GO:0035456,response to interferon-beta,-2.2055,0.00071228,MIR-381
GO:0048536,spleen development,-1.6152,0.12162,MIR-99A
GO:0150076,neuroinflammatory response,1.4895,0.33362,MIR-99A
GO:0035455,response to interferon-alpha,1.4213,0.41803,MIR-99A
GO:0032606,type I interferon production,1.3773,0.49890,MIR-99A
GO:0071706,tumor necrosis factor superfamily cytokine production,-2.1721,<2.2e-16,MIR-1915
GO:0002526,acute inflammatory response,-2.1926,<2.2e-16,MIR-1915
GO:0032602,chemokine production,-2.195,<2.2e-16,MIR-1915
GO:0050663,cytokine secretion,-2.2127,<2.2e-16,MIR-1915
GO:0050900,leukocyte migration,-2.2456,<2.2e-16,MIR-1915
GO:0032637,interleukin-8 production,-2.1117,0.00045229,MIR-1915
GO:0007159,leukocyte cell-cell adhesion,-2.1117,0.00051690,MIR-1915
GO:0032613,interleukin-10 production,-2.1368,0.00060305,MIR-1915
GO:0034341,response to interferon-gamma,-2.0876,0.00072366,MIR-1915
GO:1990868,response to chemokine,-2.0278,0.00096488,MIR-1915
GO:0032615,interleukin-12 production,-2.0347,0.0010338,MIR-1915
GO:0050727,regulation of inflammatory response,-2.0081,0.0010642,MIR-1915
GO:0006959,humoral immune response,-1.996,0.0014071,MIR-1915
GO:0042110,T cell activation,-1.9915,0.0014473,MIR-1915
GO:0070661,leukocyte proliferation,-1.9927,0.0015235,MIR-1915
GO:0035455,response to interferon-alpha,1.7513,0.016430,MIR-1915
GO:0002251,organ or tissue specific immune response,-1.9236,0.0026538,MIR-100
GO:0071559,response to transforming growth factor beta,1.9288,0.0034574,MIR-100
GO:0002251,organ or tissue specific immune response,2.1515,0.906,MIR-137
GO:0032606,type I interferon production,0.13549,0.97227,MIR-137
GO:0007159,leukocyte cell-cell adhesion,2.5489,<2.2e-16,LET-7B
GO:0001819,positive regulation of cytokine production,2.3412,<2.2e-16,LET-7B
GO:0002764,immune response-regulating signaling pathway,2.3152,<2.2e-16,LET-7B
GO:0002694,regulation of leukocyte activation,2.3074,<2.2e-16,LET-7B
GO:0001525,angiogenesis,2.2871,<2.2e-16,LET-7B
GO:0002446,neutrophil mediated immunity,2.2665,<2.2e-16,LET-7B
GO:0002250,adaptive immune response,2.2557,<2.2e-16,LET-7B
GO:0002683,negative regulation of immune system process,2.2408,<2.2e-16,LET-7B
GO:0002532,production of molecular mediator involved in inflammatory response,2.2237,<2.2e-16,LET-7B
GO:0002521,leukocyte differentiation,2.2126,<2.2e-16,LET-7B
GO:0002526,acute inflammatory response,2.1938,<2.2e-16,LET-7B
GO:0001818,negative regulation of cytokine production,2.1295,<2.2e-16,LET-7B
GO:0002449,lymphocyte mediated immunity,2.0948,<2.2e-16,LET-7B
GO:0007159,leukocyte cell-cell adhesion,2.5653,<2.2e-16,LET-7A-2
GO:0002764,immune response-regulating signaling pathway,2.396,<2.2e-16,LET-7A-2
GO:0002250,adaptive immune response,2.3507,<2.2e-16,LET-7A-2
GO:0002694,regulation of leukocyte activation,2.3414,<2.2e-16,LET-7A-2
GO:0001819,positive regulation of cytokine production,2.3329,<2.2e-16,LET-7A-2
GO:0001525,angiogenesis,2.3073,<2.2e-16,LET-7A-2
GO:0002526,acute inflammatory response,2.2268,<2.2e-16,LET-7A-2
GO:0002521,leukocyte differentiation,2.2249,<2.2e-16,LET-7A-2
GO:0002683,negative regulation of immune system process,2.2149,<2.2e-16,LET-7A-2
GO:0002446,neutrophil mediated immunity,2.2093,<2.2e-16,LET-7A-2
GO:0002449,lymphocyte mediated immunity,2.0859,<2.2e-16,LET-7A-2
GO:0007159,leukocyte cell-cell adhesion,2.5659,<2.2e-16,LET-7A-3
GO:0002764,immune response-regulating signaling pathway,2.4008,<2.2e-16,LET-7A-3
GO:0002250,adaptive immune response,2.3603,<2.2e-16,LET-7A-3
GO:0002694,regulation of leukocyte activation,2.3592,<2.2e-16,LET-7A-3
GO:0032635,interleukin-6 production,2.3487,<2.2e-16,LET-7A-3
GO:0001819,positive regulation of cytokine production,2.3311,<2.2e-16,LET-7A-3
GO:0001525,angiogenesis,2.3251,<2.2e-16,LET-7A-3
GO:0032609,interferon-gamma production,2.3072,<2.2e-16,LET-7A-3
GO:0032637,interleukin-8 production,2.2668,<2.2e-16,LET-7A-3
GO:0002446,neutrophil mediated immunity,2.231,<2.2e-16,LET-7A-3
GO:0002683,negative regulation of immune system process,2.2248,<2.2e-16,LET-7A-3
GO:0002526,acute inflammatory response,2.2242,<2.2e-16,LET-7A-3
GO:0002521,leukocyte differentiation,2.2179,<2.2e-16,LET-7A-3
GO:0007159,leukocyte cell-cell adhesion,2.5489,<2.2e-16,LET-7B
GO:0001819,positive regulation of cytokine production,2.3412,<2.2e-16,LET-7B
GO:0002764,immune response-regulating signaling pathway,2.3152,<2.2e-16,LET-7B
GO:0002694,regulation of leukocyte activation,2.3074,<2.2e-16,LET-7B
GO:0001525,angiogenesis,2.2871,<2.2e-16,LET-7B
GO:0002446,neutrophil mediated immunity,2.2665,<2.2e-16,LET-7B
GO:0002250,adaptive immune response,2.2557,<2.2e-16,LET-7B
GO:0002683,negative regulation of immune system process,2.2408,<2.2e-16,LET-7B
GO:0002532,production of molecular mediator involved in inflammatory response,2.2237,<2.2e-16,LET-7B
GO:0002521,leukocyte differentiation,2.2126,<2.2e-16,LET-7B
GO:0002526,acute inflammatory response,2.1938,<2.2e-16,LET-7B
GO:0001818,negative regulation of cytokine production,2.1295,<2.2e-16,LET-7B
GO:0002449,lymphocyte mediated immunity,2.0948,<2.2e-16,LET-7B
GO:0002251,organ or tissue specific immune response,-1.85,0.090626,LET-7C
GO:0001773,myeloid dendritic cell activation,-1.7785,0.13202,LET-7C
GO:0036230,granulocyte activation,-1.6377,0.16481,LET-7C
GO:0019882,antigen processing and presentation,-1.5636,0.17584,LET-7C
GO:0002446,neutrophil mediated immunity,-1.6477,0.18797,LET-7C
GO:0035455,response to interferon-alpha,1.6907,0.19486,LET-7C
GO:0033028,myeloid cell apoptotic process,1.4736,0.335,LET-7C
GO:0007159,leukocyte cell-cell adhesion,2.6082,<2.2e-16,LET-7D
GO:0002250,adaptive immune response,2.4341,<2.2e-16,LET-7D
GO:0002764,immune response-regulating signaling pathway,2.3514,<2.2e-16,LET-7D
GO:0002446,neutrophil mediated immunity,2.3141,<2.2e-16,LET-7D
GO:0001819,positive regulation of cytokine production,2.2646,<2.2e-16,LET-7D
GO:0002694,regulation of leukocyte activation,2.2397,<2.2e-16,LET-7D
GO:0002449,lymphocyte mediated immunity,2.2335,<2.2e-16,LET-7D
GO:0002532,production of molecular mediator involved in inflammatory response,2.1454,<2.2e-16,LET-7D
GO:0002285,lymphocyte activation involved in immune response,2.1396,<2.2e-16,LET-7D
GO:0006959,humoral immune response,2.1331,<2.2e-16,LET-7D
GO:0002697,regulation of immune effector process,2.115,<2.2e-16,LET-7D
GO:0002521,leukocyte differentiation,2.1049,<2.2e-16,LET-7D
GO:0002683,negative regulation of immune system process,2.0944,<2.2e-16,LET-7D
GO:0001525,angiogenesis,2.2686,<2.2e-16,LET-7E
GO:0002250,adaptive immune response,2.697,<2.2e-16,LET-7F-1
GO:0007159,leukocyte cell-cell adhesion,2.6856,<2.2e-16,LET-7F-1
GO:0002449,lymphocyte mediated immunity,2.6176,<2.2e-16,LET-7F-1
GO:0002446,neutrophil mediated immunity,2.55,<2.2e-16,LET-7F-1
GO:0002764,immune response-regulating signaling pathway,2.5478,<2.2e-16,LET-7F-1
GO:0002285,lymphocyte activation involved in immune response,2.5338,<2.2e-16,LET-7F-1
GO:0001819,positive regulation of cytokine production,2.5171,<2.2e-16,LET-7F-1
GO:0002694,regulation of leukocyte activation,2.5139,<2.2e-16,LET-7F-1
GO:0002697,regulation of immune effector process,2.4799,<2.2e-16,LET-7F-1
GO:0002532,production of molecular mediator involved in inflammatory response,2.3611,<2.2e-16,LET-7F-1
GO:0002683,negative regulation of immune system process,2.3554,<2.2e-16,LET-7F-1
GO:0002521,leukocyte differentiation,2.3413,<2.2e-16,LET-7F-1
GO:0006959,humoral immune response,2.3309,<2.2e-16,LET-7F-1
GO:0001818,negative regulation of cytokine production,2.3278,<2.2e-16,LET-7F-1
GO:0002526,acute inflammatory response,2.2815,<2.2e-16,LET-7F-1
GO:0002507,tolerance induction,2.1933,<2.2e-16,LET-7F-1
GO:0007159,leukocyte cell-cell adhesion,2.4609,<2.2e-16,LET-7F-2
GO:0002250,adaptive immune response,2.4333,<2.2e-16,LET-7F-2
GO:0002764,immune response-regulating signaling pathway,2.427,<2.2e-16,LET-7F-2
GO:0001819,positive regulation of cytokine production,2.3411,<2.2e-16,LET-7F-2
GO:0002694,regulation of leukocyte activation,2.278,<2.2e-16,LET-7F-2
GO:0002449,lymphocyte mediated immunity,2.2538,<2.2e-16,LET-7F-2
GO:0032609,interferon-gamma production,2.2522,<2.2e-16,LET-7F-2
GO:0002526,acute inflammatory response,2.2497,<2.2e-16,LET-7F-2
GO:0002697,regulation of immune effector process,2.2299,<2.2e-16,LET-7F-2
GO:0002532,production of molecular mediator involved in inflammatory response,2.2223,<2.2e-16,LET-7F-2
GO:0032637,interleukin-8 production,2.2028,<2.2e-16,LET-7F-2
GO:0002446,neutrophil mediated immunity,2.1898,<2.2e-16,LET-7F-2
GO:0032635,interleukin-6 production,2.1684,<2.2e-16,LET-7F-2
GO:0032623,interleukin-2 production,2.1547,<2.2e-16,LET-7F-2
GO:0002285,lymphocyte activation involved in immune response,2.1422,<2.2e-16,LET-7F-2
GO:0002683,negative regulation of immune system process,2.0954,<2.2e-16,LET-7F-2
GO:0002521,leukocyte differentiation,2.0631,<2.2e-16,LET-7F-2
GO:0002764,immune response-regulating signaling pathway,2.5919,<2.2e-16,LET-7G
GO:0002250,adaptive immune response,2.5745,<2.2e-16,LET-7G
GO:0001819,positive regulation of cytokine production,2.4431,<2.2e-16,LET-7G
GO:0007159,leukocyte cell-cell adhesion,2.4417,<2.2e-16,LET-7G
GO:0032609,interferon-gamma production,2.4279,<2.2e-16,LET-7G
GO:0032606,type I interferon production,2.3719,<2.2e-16,LET-7G
GO:0002694,regulation of leukocyte activation,2.3424,<2.2e-16,LET-7G
GO:0002697,regulation of immune effector process,2.342,<2.2e-16,LET-7G
GO:0002449,lymphocyte mediated immunity,2.3005,<2.2e-16,LET-7G
GO:0002532,production of molecular mediator involved in inflammatory response,2.282,<2.2e-16,LET-7G
GO:0002526,acute inflammatory response,2.2275,<2.2e-16,LET-7G
GO:0002285,lymphocyte activation involved in immune response,2.1666,<2.2e-16,LET-7G
GO:0030101,natural killer cell activation,2.1632,<2.2e-16,LET-7G
GO:0002446,neutrophil mediated immunity,2.0986,<2.2e-16,LET-7G
GO:0002250,adaptive immune response,2.2518,<2.2e-16,LET-7I
GO:0007159,leukocyte cell-cell adhesion,2.1765,<2.2e-16,LET-7I
GO:0002449,lymphocyte mediated immunity,2.1677,<2.2e-16,LET-7I
GO:0002764,immune response-regulating signaling pathway,2.1326,<2.2e-16,LET-7I
GO:0001819,positive regulation of cytokine production,2.1324,<2.2e-16,LET-7I
GO:0002697,regulation of immune effector process,2.1317,<2.2e-16,LET-7I
GO:0002694,regulation of leukocyte activation,2.1279,<2.2e-16,LET-7I
GO:0002285,lymphocyte activation involved in immune response,2.1101,<2.2e-16,LET-7I
GO:0002683,negative regulation of immune system process,2.068,<2.2e-16,LET-7I
GO:0002532,production of molecular mediator involved in inflammatory response,2.0375,<2.2e-16,LET-7I
GO:0001818,negative regulation of cytokine production,2.0362,<2.2e-16,LET-7I
GO:0002440,production of molecular mediator of immune response,2.0293,<2.2e-16,LET-7I
GO:0002521,leukocyte differentiation,2.0009,<2.2e-16,LET-7I
GO:0006959,humoral immune response,1.9821,<2.2e-16,LET-7I
GO:0002446,neutrophil mediated immunity,1.9705,<2.2e-16,LET-7I
GO:0002448,mast cell mediated immunity,1.9559,<2.2e-16,LET-7I
GO:0002269,leukocyte activation involved in inflammatory response,1.9395,<2.2e-16,LET-7I
GO:0001773,myeloid dendritic cell activation,1.9182,<2.2e-16,LET-7I
GO:0002251,organ or tissue specific immune response,-1.9236,0.0026538,MIR-100
GO:0071559,response to transforming growth factor beta,1.9288,0.0034574,MIR-100
GO:0034341,response to interferon-gamma,2.5728,<2.2e-16,MIR-101-1
GO:0034340,response to type I interferon,2.5475,<2.2e-16,MIR-101-1
GO:0002764,immune response-regulating signaling pathway,2.4683,<2.2e-16,MIR-101-1
GO:0032606,type I interferon production,2.4484,<2.2e-16,MIR-101-1
GO:0002250,adaptive immune response,2.3312,<2.2e-16,MIR-101-1
GO:0001819,positive regulation of cytokine production,2.2332,<2.2e-16,MIR-101-1
GO:0032635,interleukin-6 production,2.229,<2.2e-16,MIR-101-1
GO:0002697,regulation of immune effector process,2.2137,<2.2e-16,MIR-101-1
GO:0032609,interferon-gamma production,2.1685,<2.2e-16,MIR-101-1
GO:0002449,lymphocyte mediated immunity,2.1504,<2.2e-16,MIR-101-1
GO:0007159,leukocyte cell-cell adhesion,2.1041,<2.2e-16,MIR-101-1
GO:0002526,acute inflammatory response,2.0913,<2.2e-16,MIR-101-1
GO:0032637,interleukin-8 production,2.0844,<2.2e-16,MIR-101-1
GO:0035456,response to interferon-beta,2.0825,<2.2e-16,MIR-101-1
GO:0001818,negative regulation of cytokine production,2.0525,<2.2e-16,MIR-101-1
GO:0006925,inflammatory cell apoptotic process,2.0472,<2.2e-16,MIR-101-1
GO:0042110,T cell activation,2.0379,<2.2e-16,MIR-101-1
GO:0034340,response to type I interferon,2.62,<2.2e-16,MIR-101-2
GO:0001525,angiogenesis,-2.012,0.00042812,MIR-101-2
GO:0035456,response to interferon-beta,2.2116,0.0030438,MIR-101-2
GO:0035455,response to interferon-alpha,2.0521,0.011034,MIR-101-2
GO:0032606,type I interferon production,1.8176,0.040331,MIR-101-2
GO:0034341,response to interferon-gamma,1.6787,0.071631,MIR-101-2
GO:0032637,interleukin-8 production,-2.1486,<2.2e-16,MIR-105-1
GO:0032635,interleukin-6 production,-2.1864,<2.2e-16,MIR-105-1
GO:0034341,response to interferon-gamma,-2.2031,<2.2e-16,MIR-105-1
GO:0042116,macrophage activation,-2.0196,0.0091439,MIR-105-1
GO:0002764,immune response-regulating signaling pathway,-1.9334,0.010134,MIR-105-1
GO:0050900,leukocyte migration,-1.9337,0.010858,MIR-105-1
GO:0002532,production of molecular mediator involved in inflammatory response,-1.9126,0.011112,MIR-105-1
GO:0032615,interleukin-12 production,-1.9541,0.011335,MIR-105-1
GO:0071706,tumor necrosis factor superfamily cytokine production,-1.8999,0.011370,MIR-105-1
GO:0007159,leukocyte cell-cell adhesion,-1.9351,0.011694,MIR-105-1
GO:0001819,positive regulation of cytokine production,-1.8384,0.015694,MIR-105-1
GO:0042116,macrophage activation,-2.1507,<2.2e-16,MIR-105-2
GO:0071706,tumor necrosis factor superfamily cytokine production,-2.171,<2.2e-16,MIR-105-2
GO:0032637,interleukin-8 production,-2.1732,<2.2e-16,MIR-105-2
GO:0034341,response to interferon-gamma,-2.2233,<2.2e-16,MIR-105-2
GO:0032635,interleukin-6 production,-2.2372,<2.2e-16,MIR-105-2
GO:0032615,interleukin-12 production,-2.0295,0.0059089,MIR-105-2
GO:0034612,response to tumor necrosis factor,-1.9951,0.0075971,MIR-105-2
GO:0007159,leukocyte cell-cell adhesion,-1.9742,0.0088633,MIR-105-2
GO:0002532,production of molecular mediator involved in inflammatory response,-1.9648,0.0094173,MIR-105-2
GO:0050727,regulation of inflammatory response,-1.909,0.010072,MIR-105-2
GO:0002446,neutrophil mediated immunity,-2.4252,<2.2e-16,MIR-106A
GO:0036230,granulocyte activation,-2.49,<2.2e-16,MIR-106A
GO:0050727,regulation of inflammatory response,-1.9409,0.0059888,MIR-106A
GO:0002200,somatic diversification of immune receptors,1.8561,0.00055842,MIR-106B
GO:0034340,response to type I interferon,2.5766,<2.2e-16,MIR-107
GO:0032606,type I interferon production,2.0007,0.00069823,MIR-107
GO:0035455,response to interferon-alpha,1.9037,0.0019950,MIR-107
GO:0035456,response to interferon-beta,1.8739,0.0022343,MIR-107
GO:0035924,cellular response to vascular endothelial growth factor stimulus,-1.8195,0.012647,MIR-107
GO:0048536,spleen development,2.4523,0.25665,MIR-10A
GO:1903706,regulation of hemopoiesis,1.4998,0.36507,MIR-10A
GO:0002697,regulation of immune effector process,1.5275,0.36615,MIR-10A
GO:0019882,antigen processing and presentation,1.4999,0.36865,MIR-10A
GO:0030101,natural killer cell activation,1.5026,0.37004,MIR-10A
GO:0033028,myeloid cell apoptotic process,1.4908,0.37070,MIR-10A
GO:0002694,regulation of leukocyte activation,1.5327,0.37326,MIR-10A
GO:0035456,response to interferon-beta,1.6045,0.15978,MIR-10B
GO:0002437,inflammatory response to antigenic stimulus,2.3435,0.53936,MIR-1-1
GO:0032616,interleukin-13 production,2.4205,0.57773,MIR-1-1
GO:0002507,tolerance induction,2.5201,0.63529,MIR-1-1
GO:0042092,type 2 immune response,2.4234,0.63728,MIR-1-1
GO:0032634,interleukin-5 production,2.5469,0.67089,MIR-1-1
GO:0001525,angiogenesis,2.069,0.00023875,MIR-1-2
GO:0035924,cellular response to vascular endothelial growth factor stimulus,1.9804,0.00023875,MIR-1-2
GO:0034340,response to type I interferon,-2.0647,0.0012662,MIR-122
GO:0035456,response to interferon-beta,-1.9978,0.0026860,MIR-122
GO:0034341,response to interferon-gamma,-1.8413,0.025061,MIR-122
GO:0002446,neutrophil mediated immunity,-2.0196,0.026018,MIR-124-1
GO:0032623,interleukin-2 production,-1.942,0.041628,MIR-124-1
GO:0036230,granulocyte activation,-2.0366,0.04403,MIR-124-1
GO:0042116,macrophage activation,-1.8725,0.08339,MIR-124-1
GO:0006959,humoral immune response,-1.8243,0.096565,MIR-124-1
GO:0032609,interferon-gamma production,-1.649,0.12737,MIR-124-1
GO:0002250,adaptive immune response,-1.6512,0.13594,MIR-124-1
GO:0007159,leukocyte cell-cell adhesion,-1.6096,0.13998,MIR-124-1
GO:0070555,response to interleukin-1,-1.7251,0.14038,MIR-124-1
GO:0002446,neutrophil mediated immunity,-1.459,0.43272,MIR-124-2
GO:0098760,response to interleukin-7,0.40562,0.99874,MIR-124-2
GO:0036230,granulocyte activation,-2.0669,0.0014674,MIR-124-3
GO:0002446,neutrophil mediated immunity,-2.0533,0.0019566,MIR-124-3
GO:0032623,interleukin-2 production,-1.9795,0.0035218,MIR-124-3
GO:0007159,leukocyte cell-cell adhesion,-1.8714,0.012326,MIR-124-3
GO:0042116,macrophage activation,-1.8108,0.017264,MIR-124-3
GO:0006959,humoral immune response,-1.767,0.024146,MIR-124-3
GO:0071559,response to transforming growth factor beta,1.9235,0.00015410,MIR-125A
GO:0019882,antigen processing and presentation,-2.304,<2.2e-16,MIR-125B-1
GO:0002446,neutrophil mediated immunity,-2.5268,<2.2e-16,MIR-125B-1
GO:0002507,tolerance induction,-2.0376,0.0012992,MIR-125B-1
GO:0071559,response to transforming growth factor beta,1.873,0.0021358,MIR-125B-1
GO:0002250,adaptive immune response,-1.9914,0.0021398,MIR-125B-1
GO:0002449,lymphocyte mediated immunity,-1.9263,0.0055576,MIR-125B-1
GO:0036230,granulocyte activation,-1.7068,0.088568,MIR-125B-2
GO:0002446,neutrophil mediated immunity,-1.7277,0.10093,MIR-125B-2
GO:0035455,response to interferon-alpha,1.6484,0.11398,MIR-125B-2
GO:0001773,myeloid dendritic cell activation,-1.6222,0.12042,MIR-125B-2
GO:0034340,response to type I interferon,1.5758,0.23640,MIR-125B-2
GO:0002250,adaptive immune response,2.4657,<2.2e-16,MIR-126
GO:0007159,leukocyte cell-cell adhesion,2.3494,<2.2e-16,MIR-126
GO:0002449,lymphocyte mediated immunity,2.2094,<2.2e-16,MIR-126
GO:0001819,positive regulation of cytokine production,2.2059,<2.2e-16,MIR-126
GO:0002764,immune response-regulating signaling pathway,2.1792,<2.2e-16,MIR-126
GO:0002446,neutrophil mediated immunity,2.1636,<2.2e-16,MIR-126
GO:0019882,antigen processing and presentation,2.137,<2.2e-16,MIR-126
GO:0002526,acute inflammatory response,2.1344,<2.2e-16,MIR-126
GO:0002697,regulation of immune effector process,2.1239,<2.2e-16,MIR-126
GO:0001818,negative regulation of cytokine production,2.0957,<2.2e-16,MIR-126
GO:0002694,regulation of leukocyte activation,2.0891,<2.2e-16,MIR-126
GO:0002285,lymphocyte activation involved in immune response,2.0756,<2.2e-16,MIR-126
GO:0001525,angiogenesis,2.0088,<2.2e-16,MIR-126
GO:0002521,leukocyte differentiation,1.9735,<2.2e-16,MIR-126
GO:0035456,response to interferon-beta,-2.2861,<2.2e-16,MIR-127
GO:0034340,response to type I interferon,-2.3188,<2.2e-16,MIR-127
GO:0042116,macrophage activation,-1.7872,0.023711,MIR-128-1
GO:0032635,interleukin-6 production,-1.7667,0.031854,MIR-128-1
GO:0032634,interleukin-5 production,-1.6916,0.049437,MIR-128-1
GO:0032602,chemokine production,-1.6161,0.085145,MIR-128-1
GO:0071706,tumor necrosis factor superfamily cytokine production,-1.6239,0.086809,MIR-128-1
GO:0034340,response to type I interferon,1.8224,0.021659,MIR-128-2
