Gene,Count
MIR-1283-1,7
MIR-1469,7
MIR-769,7
MIR-519D,7
MIR-548E,7
MIR-99B,7
MIR-34C,7
LET-7C,7
MIR-10A,7
MIR-215,7
MIR-373,7
MIR-296,7
MIR-433,6
MIR-1301,6
MIR-125B-1,6
MIR-133A-1,6
MIR-143,6
MIR-1291,6
MIR-1293,6
MIR-138-1,6
MIR-490,6
MIR-575,6
MIR-1185-2,6
MIR-1283-2,6
MIR-141,6
MIR-598,6
MIR-548F-1,6
MIR-124-3,6
MIR-422A,6
MIR-621,6
MIR-375,6
MIR-637,6
MIR-1248,6
MIR-196A-2,6
MIR-200C,6
MIR-211,6
MIR-320A,6
MIR-873,6
MIR-940,6
MIR-27B,6
MIR-495,6
MIR-449A,6
MIR-521-1,6
MIR-519C,6
MIR-520C,6
MIR-519A-2,6
MIR-516A-1,6
MIR-518B,6
MIR-518E,6
MIR-101-2,6
MIR-515-1,6
MIR-122,6
MIR-515-2,6
MIR-503,6
MIR-320C-2,5
MIR-15B,5
MIR-525,5
MIR-153-1,5
MIR-671,5
MIR-1258,5
MIR-194-1,5
MIR-152,5
MIR-320D-1,5
MIR-181B-2,5
MIR-517A,5
MIR-340,5
MIR-610,5
MIR-1287,5
MIR-320C-1,5
MIR-1292,5
MIR-521-2,5
MIR-188,5
MIR-623,5
MIR-624,5
MIR-526A-2,5
MIR-1278,5
MIR-636,5
MIR-578,5
MIR-539,5
MIR-526A-1,5
MIR-125B-2,5
MIR-128-1,5
MIR-545,5
MIR-24-1,5
MIR-885,5
MIR-892B,5
MIR-548L,5
MIR-487A,5
MIR-134,5
MIR-491,5
MIR-107,5
MIR-498,5
MIR-527,5
MIR-25,4
MIR-938,4
MIR-381,4
MIR-100,4
MIR-639,4
MIR-137,4
MIR-369,4
MIR-337,4
MIR-877,4
MIR-655,4
MIR-181A-1,4
MIR-331,4
MIR-758,4
MIR-888,4
MIR-135B,4
MIR-1225,4
MIR-891B,4
MIR-518C,4
MIR-200B,4
MIR-524,4
MIR-124-2,4
MIR-922,4
MIR-1263,4
MIR-548B,4
MIR-518A-2,4
MIR-1237,4
MIR-522,4
MIR-1181,4
MIR-1285-1,4
MIR-556,4
MIR-18B,4
MIR-409,4
MIR-592,4
MIR-532,4
MIR-1908,4
MIR-542,4
MIR-487B,4
MIR-489,4
MIR-455,4
MIR-432,4
MIR-516B-1,4
MIR-429,4
MIR-377,4
MIR-625,4
MIR-615,4
MIR-320D-2,4
MIR-614,4
MIR-609,4
MIR-1231,4
MIR-382,4
MIR-19B-2,3
MIR-128-2,3
MIR-191,3
MIR-187,3
MIR-1282,3
MIR-198,3
MIR-216A,3
MIR-199B,3
MIR-199A-2,3
MIR-106A,3
MIR-1205,3
MIR-1306,3
MIR-1286,3
MIR-19B-1,3
MIR-939,3
MIR-1468,3
MIR-192,3
MIR-1307,3
MIR-182,3
MIR-523,3
MIR-299,3
MIR-370,3
MIR-662,3
MIR-376B,3
MIR-597,3
MIR-552,3
MIR-654,3
MIR-572,3
MIR-346,3
MIR-640,3
MIR-485,3
MIR-362,3
MIR-631,3
MIR-630,3
MIR-622,3
MIR-618,3
MIR-588,3
MIR-30E,3
MIR-411,3
MIR-548D-1,3
MIR-520G,3
MIR-517B,3
MIR-32,3
MIR-665,3
MIR-520F,3
MIR-512-2,3
MIR-93,3
MIR-516A-2,3
MIR-33A,3
MIR-519B,2
MIR-600,2
MIR-582,2
MIR-497,2
MIR-520B,2
MIR-1255A,2
MIR-139,2
MIR-1272,2
MIR-1270,2
MIR-145,2
MIR-1909,2
MIR-577,2
MIR-574,2
MIR-548K,2
MIR-20B,2
MIR-518D,2
MIR-520H,2
MIR-564,2
MIR-555,2
MIR-501,2
MIR-1-2,2
MIR-127,2
MIR-520E,2
MIR-596,2
MIR-520D,2
MIR-599,2
MIR-95,2
MIR-328,2
MIR-148B,2
MIR-154,2
MIR-133B,2
MIR-200A,2
MIR-570,2
MIR-204,2
MIR-651,2
MIR-210,2
MIR-892A,2
MIR-944,2
MIR-7-2,2
MIR-876,2
MIR-744,2
MIR-1289-1,2
MIR-20A,2
MIR-383,2
MIR-379,2
MIR-604,2
MIR-196A-1,2
MIR-628,2
MIR-632,2
MIR-648,1
MIR-1305,1
MIR-450A-1,1
MIR-611,1
MIR-1243,1
MIR-891A,1
MIR-106B,1
MIR-520A,1
MIR-450A-2,1
LET-7E,1
MIR-516B-2,1
MIR-606,1
MIR-214,1
MIR-7-1,1
MIR-218-1,1
MIR-425,1
MIR-10B,1
MIR-765,1
MIR-887,1
MIR-196B,1
MIR-1277,1
MIR-363,1
MIR-199A-1,1
MIR-561,1
MIR-345,1
MIR-133A-2,1
MIR-1246,1
MIR-661,1
MIR-1179,1
MIR-580,1
MIR-484,1
MIR-125A,1
MIR-584,1
MIR-1323,1
MIR-512-1,1
MIR-591,1
